current_belt;gender;reasons
purple belt;Male;[family,mma]
blue belt;Male;[no answer]
brown belt;Male;[grappled  / wrestled before,mma]
blue belt;Male;[improve groundwork,ufc]
white belt;Male;[needed a challenge]
white belt;Male;[no answer]
no answer;no answer;[no answer]
blue belt;Male;[instructor / black belt]
white belt;Female;[fitness,friend,try somethig new / change]
white belt;Female;[family,just wanted to try,partner]
purple belt;Male;[camaraderie]
white belt;Male;[fun,needed a challenge]
blue belt;Male;[improve groundwork,instructor / black belt,love from the first roll,mma,try somethig new / change]
white belt;Male;[ufc]
white belt;Male;[fitness]
purple belt;Male;[get in shape,mma,work]
blue belt;Female;[wanted to compete]
no answer;no answer;[no answer]
blue belt;Male;[become a more rounded fighter]
purple belt;Male;[no answer]
no answer;Male;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[just wanted to try,try somethig new / change,ufc,wanted to compete]
purple belt;Male;[mma]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Female;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
black belt;Male;[famous bjj athlete,friend,helps with / transitioned from judo,instructor / black belt,ufc]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;no answer;[no answer]
no answer;Male;[no answer]
no rank;Male;[friend]
no answer;no answer;[no answer]
no answer;Female;[no answer]
no answer;Male;[no answer]
white belt;Male;[fitness,fun]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
white belt;Male;[fitness,ufc]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Female;[no answer]
no answer;Female;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
blue belt;Male;[family,fitness,ufc]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
brown belt;Female;[fitness,needed a challenge,work]
blue belt;Male;[fitness,mma]
no answer;Male;[no answer]
blue belt;Female;[helps with / transitioned from judo,improve groundwork,work]
white belt;Female;[fitness,fun,self defense]
no answer;Male;[no answer]
no answer;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[mma,wanted to compete]
no answer;no answer;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
blue belt;Male;[mma]
