current_belt;gender;choke;technique
brown belt;Male;choke;kimura
brown belt;Male;choke;bow & arrow
blue belt;Male;choke;kimura
blue belt;Male;choke;bow & arrow
purple belt;Male;not a choke;ankle lock
blue belt;Male;choke;triangle
brown belt;Male;choke;brabo choke
blue belt;Male;not a choke;armlock
white belt;Male;not a choke;omoplata
white belt;Male;not a choke;armbar
no answer;no answer;no answer;no answer
blue belt;Male;not a choke;armbar
white belt;Female;choke;triangle
white belt;Female;choke;rear naked choke
white belt;Female;no answer;no answer
purple belt;Male;not a choke;heel hook
white belt;Male;choke;bow & arrow
blue belt;Male;choke;triangle
white belt;Male;not a choke;kimura
white belt;Male;choke;lapel chokes
purple belt;Male;not a choke;kimura
blue belt;Female;no answer;no answer
no answer;no answer;no answer;no answer
blue belt;Male;choke;triangle
purple belt;Male;no answer;no answer
no answer;Male;no answer;no answer
blue belt;Male;choke;loop choke
purple belt;Male;choke;triangle
purple belt;Male;choke;triangle
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
black belt;Male;not a choke;armlock
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;no answer;no answer;no answer
no answer;Male;no answer;no answer
no rank;Male;choke;darce
no answer;no answer;no answer;no answer
no answer;Female;no answer;no answer
no answer;Male;no answer;no answer
white belt;Male;choke;triangle
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
white belt;Male;choke;guillotine
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;Female;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
blue belt;Male;not a choke;kimura
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
brown belt;Female;choke;bow & arrow
blue belt;Male;choke;triangle
no answer;Male;no answer;no answer
blue belt;Female;choke;bow & arrow
white belt;Female;not a choke;armbar
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
white belt;Male;no answer;no answer
purple belt;Male;choke;triangle
white belt;Male;choke;rear naked choke
no answer;no answer;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
blue belt;Male;choke;gogoplata
purple belt;Male;choke;triangle
no answer;Male;no answer;no answer
no answer;no answer;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;Female;no answer;no answer
blue belt;Female;choke;bow & arrow
blue belt;Male;choke;triangle
blue belt;Female;no answer;no answer
white belt;Female;no answer;no answer
no answer;Male;no answer;no answer
purple belt;Male;choke;guillotine
no answer;Male;no answer;no answer
purple belt;Male;not a choke;ankle lock
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;no answer;no answer;no answer
no rank;Male;choke;guillotine
white belt;Female;not a choke;heel hook
purple belt;Male;not a choke;omoplata
white belt;Male;choke;rear naked choke
purple belt;Male;choke;triangle
white belt;Male;not a choke;armbar
brown belt;Male;choke;brabo choke
brown belt;Male;choke;ezekiel
no answer;Male;no answer;no answer
brown belt;Male;choke;cross collar choke
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
blue belt;Male;choke;bow & arrow
white belt;Male;choke;triangle
blue belt;Female;choke;bow & arrow
white belt;Male;not a choke;americana
white belt;Male;choke;bow & arrow
blue belt;Male;not a choke;armbar
black belt;Male;no answer;no answer
blue belt;Male;not a choke;heel hook
blue belt;Male;choke;triangle
purple belt;Male;choke;triangle
blue belt;Male;choke;loop choke
blue belt;Male;choke;triangle
purple belt;Male;no answer;no answer
blue belt;Male;choke;bow & arrow
brown belt;Male;choke;single wing
no answer;Male;no answer;no answer
white belt;Male;choke;loop choke
no answer;no answer;no answer;no answer
purple belt;Male;choke;head & arm choke
no answer;Male;no answer;no answer
no answer;no answer;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;no answer;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
brown belt;Male;not a choke;americana
white belt;Male;choke;papercutter
no answer;Male;no answer;no answer
white belt;Male;not a choke;armbar
no answer;Male;no answer;no answer
white belt;Male;choke;triangle
purple belt;Male;not a choke;ankle lock
white belt;Female;not a choke;omoplata
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
purple belt;Male;not a choke;omoplata
blue belt;Male;not a choke;americana
brown belt;Male;choke;triangle
purple belt;Male;choke;triangle
white belt;Male;choke;cross collar choke
white belt;Male;choke;rear naked choke
white belt;Male;no answer;no answer
white belt;Male;choke;triangle
purple belt;Male;choke;bow & arrow
no answer;Female;no answer;no answer
white belt;Male;no answer;no answer
no answer;Female;no answer;no answer
brown belt;Male;choke;cross collar choke
no answer;Female;no answer;no answer
white belt;Female;not a choke;americana
no answer;Female;no answer;no answer
no answer;Male;no answer;no answer
purple belt;Male;choke;crucifix
no answer;Male;no answer;no answer
blue belt;Male;no answer;no answer
no answer;Male;no answer;no answer
brown belt;Male;choke;darce
white belt;Male;choke;darce
white belt;Male;not a choke;electric chair
no answer;Male;no answer;no answer
black belt;Male;not a choke;kimura
blue belt;Male;not a choke;ankle lock
blue belt;Male;not a choke;kimura
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;Female;no answer;no answer
blue belt;Male;not a choke;kimura
no answer;no answer;no answer;no answer
no answer;Female;no answer;no answer
purple belt;Male;choke;cross collar choke
purple belt;Male;not a choke;armbar
purple belt;Male;choke;cross collar choke
no answer;Male;no answer;no answer
blue belt;Female;choke;triangle
no answer;Male;no answer;no answer
no answer;no answer;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
purple belt;Male;not a choke;kimura
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
white belt;Female;not a choke;armbar
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;no answer;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
white belt;Male;not a choke;armbar
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
white belt;Male;choke;guillotine
no rank;Male;choke;guillotine
no answer;Male;no answer;no answer
blue belt;Male;not a choke;kimura
white belt;Male;choke;rear naked choke
blue belt;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;Male;no answer;no answer
purple belt;no answer;choke;triangle
blue belt;Male;choke;triangle
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
blue belt;Male;choke;gogoplata
white belt;Male;choke;rear naked choke
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Female;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
white belt;Male;choke;cross collar choke
blue belt;Male;choke;triangle
no answer;Male;no answer;no answer
blue belt;Male;not a choke;armbar
no answer;no answer;no answer;no answer
purple belt;Male;no answer;no answer
no answer;Male;no answer;no answer
white belt;Male;choke;triangle
no answer;Male;no answer;no answer
white belt;Female;choke;guillotine
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
blue belt;Male;not a choke;armbar
white belt;Male;choke;triangle
no answer;Male;no answer;no answer
blue belt;Male;choke;triangle
blue belt;Male;choke;bow & arrow
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
purple belt;Male;no answer;no answer
no answer;Male;no answer;no answer
no answer;Male;no answer;no answer
purple belt;Male;not a choke;armbar
white belt;Male;not a choke;ankle lock
no answer;no answer;no answer;no answer
black belt;Male;choke;triangle
no answer;Female;no answer;no answer
purple belt;Male;choke;cross collar choke
blue belt;Female;no answer;no answer
no answer;Male;no answer;no answer
blue belt;Male;choke;gi choke
purple belt;Male;not a choke;kimura
no answer;no answer;no answer;no answer
no answer;Female;no answer;no answer
