current_belt;gender;athletes
white belt;Male;"['Romero ""Jacare"" Cavalcanti']"
white belt;Male;"['Leandro Lo', 'Roberto ""Cyborg"" Abreu', 'Saulo Ribeiro']"
blue belt;Male;['Marcus Buchecha', 'Rodoflo Viera']
purple belt;Male;['no answer']
blue belt;Female;['no answer']
black belt;Male;['no answer']
brown belt;Male;['Gui Mendes', 'JT Torres', 'Keenan Cornelius', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Rafael Mendes']
blue belt;Male;['no answer']
purple belt;Male;['Bernardo Faria', 'Leandro Lo', 'Lucas Leite', 'Marcelo Garcia']
blue belt;Male;['Leandro Lo', 'Lucas Leite', 'Marcelo Garcia', 'Roger Gracie']
blue belt;Female;['Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia']
brown belt;Male;['Leandro Lo']
black belt;Male;['Roger Gracie']
blue belt;Male;"['Marcus Buchecha', 'Caio Terra', 'Eddie Cummings', 'Garry Tonon', 'Keenan Cornelius', 'Kurt Osiander', 'Leandro Lo', 'Marcelo Garcia', 'Marcus ""Buchecha"" Almeida', 'Roberto ""Cyborg"" Abreu', 'Saulo Ribeiro']"
black belt;Male;['no answer']
blue belt;Male;['no answer']
purple belt;Male;['no answer']
white belt;Male;['no answer']
no rank;Male;['no answer']
brown belt;Male;['Braulio Estima', 'Helio Soneca', 'Lucas Lepri']
blue belt;Male;"['Marcus Buchecha', 'Leandro Lo', 'Marcus ""Buchecha"" Almeida']"
blue belt;Male;['no answer']
white belt;Male;['no answer']
brown belt;Male;"['Marcus Buchecha', 'Leandro Lo', 'Lucas Lepri', 'Rodoflo Viera', 'Roger Gracie', 'Romero ""Jacare"" Cavalcanti', 'Rubens ""Cobrinha"" Charles']"
purple belt;Male;['Gordon Ryan']
no rank;Male;['no answer']
no rank;Male;['no answer']
blue belt;Male;['Marcus Buchecha', 'Keenan Cornelius', 'Leandro Lo', 'Rodoflo Viera']
black belt;Male;['no answer']
purple belt;Female;['Garry Tonon', 'Roger Gracie']
blue belt;Female;['Mackenzie Dern']
blue belt;Female;['no answer']
white belt;Male;['Leandro Lo', 'Marcelo Garcia']
white belt;Female;['no answer']
blue belt;Female;['no answer']
no rank;Male;['B.J. Penn']
no rank;Female;['no answer']
blue belt;Male;"['Daniel ""Raspberry Ape"" Strauss']"
white belt;Male;['André Galvão']
blue belt;Male;['Kron Gracie', 'Leandro Lo', 'Micheal Liera', 'Roger Gracie', 'Saulo Ribeiro', 'Xande Ribeiro']
white belt;Female;['no answer']
white belt;Male;['no answer']
blue belt;Male;"['Leandro Lo', 'Marcelo Garcia', 'Robson Moura', 'Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza']"
white belt;Male;['André Galvão', 'Demian Maia', 'Garry Tonon', 'Leandro Lo', 'Marcelo Garcia']
brown belt;Male;['no answer']
brown belt;Male;['Leandro Lo']
white belt;Male;['no answer']
purple belt;Male;['no answer']
blue belt;Male;['no answer']
